farm_id,crop,date,temp_avg,temp_max,temp_min,humidity_avg,solar_mj_m2,rainfall_mm,wind_speed_ms
# ── 작성 방법 ────────────────────────────────────────────────────────────────
# farm_id       : 수확 기록과 동일한 농가 ID
# crop          : 작목명 (한국어)
# date          : 날짜 (YYYY-MM-DD, 일별 기록)
# temp_avg      : 일 평균 기온 (℃)
# temp_max      : 일 최고 기온 (℃)
# temp_min      : 일 최저 기온 (℃)
# humidity_avg  : 일 평균 습도 (%)
# solar_mj_m2   : 일사량 (MJ/m², 없으면 공란 — ERA5 기상 데이터로 보완)
# rainfall_mm   : 강수량 (mm)
# wind_speed_ms : 평균 풍속 (m/s, 없으면 공란)
#
# ── 노지 작물 주의 ────────────────────────────────────────────────────────────
# 노지(배추·무·마늘 등)는 기상청 AWS 관측 데이터(기상자료개방포털)를 활용 권장
# 환경 기록이 없어도 ERA5 기상 데이터로 학습 가능 (정밀도 다소 낮아짐)
#
# ── 입력 예시 ────────────────────────────────────────────────────────────────
# farm_101,배추,2022-09-01,18.5,24.2,13.1,72.0,12.3,0.0,1.8
# farm_101,배추,2022-09-02,17.8,23.5,12.6,75.0,10.1,2.5,2.1
