모듈,이름,알고리즘,입력,출력,검증,목표 R²,학습 기간,상태,목표 정확도,목표 reward,목표 C-index,목표 F1,목표
M1,수확량,XGB+LGB 앙상블,15개 변수,kg/m²,GroupKFold 5,0.8,2주,✓ 달성,,,,,
M2,단가,시계열 회귀,KAMIS+작목+시기,원/kg,Walk-forward,0.65,2주,⏳ 학습 가능,,,,,
M3,비용,다중 회귀 (39항목),규모+시설,만원,Leave-one-farm,0.8,1주,⏳ 학습 가능,,,,,
M4,등급,분류 (Multinomial),환경+aT API,등급 분포,CV,,2주,⏳ aT API 필요,75.0,,,,
M5,출하 시기,M1×M2 결합 + ARG max,M1+M2,최적일,시계열,0.7,1주,⏳ M1+M2 후,,,,,
M6,환경 권장 (RL),PPO/SAC,현재 환경,최적값,시뮬레이션,,4주,⏳ 학습 가능,,0.8,,,
M7,첫수확 (AFT),Accelerated Failure Time,정식+생육,시기,C-index,,2주,⏳ 부분 활용,,,0.75,,
M8,병해충,NCPMS API + 분류,NCPMS+환경,위험도,F1-score,,1주,⏳ NCPMS API,,,,0.7,
M9,기상 알림,KMA 단순 매핑,KMA API,경보,-,,1주,⏳ KMA API,,,,,정확
M_BM,우수농가 벤치마킹,Gap + SHAP,환경+우수농가 평균,격차+잠재력,XGB 회귀,0.8,4주,⏳ 신규 (★),,,,,
