#,자료,구분,출처,행수,농가,상태
1,스마트팜_2018~2022 (5 zip),★★★ 학습 메인,농진청 OpenAPI (15108734),12476,293,✓ 통합 완료
2,이암허브 환경 4 zip,★★★ 외부 검증,이암허브 (i-Farm Hub),770,20,✓ 통합 완료
3,이암허브 생육 4 zip,★★ AFT용,이암허브,주별,20,⏳ 부분 활용
4,이암허브 소득 4 zip,★★★ M2/M3,이암허브,5농가/39항목,20,⏳ 활용 가능
5,농정원 지역별 토마토,★★ 학습 보강,농정원,"~3,000+",~80,⏳ 미활용
6,농정원 농가경영정보,★★★ M2/M3,농정원,농가별,~80,⏳ 미활용
7,농진청 OpenAPI 명세서,문서,농진청,-,-,✓ 참조
8,농진청 우수농가 OpenAPI,★★★ M_BM (신규),농진청 OpenAPI,-,-,⏳ 신청 예정
9,KAMIS 단가 API,★★★ M2,aT 농수산식품유통공사,5년 일별,-,⏳ 신청 예정
10,KMA 기상 API,★★ M9,기상청,실시간,-,⏳ 신청 예정
11,NCPMS 병해충 API,★★ M8,농진청,실시간,-,⏳ 신청 예정
12,aT 농산물 등급 API,★ M4 (필요),aT,미정,-,⏳ 신청 필요
13,농진청 생산형 향상모델 OpenAPI,★ 검증 보조,data.go.kr (15125691),미정,-,⏳ 신규 활용
