farm_id,crop,season,year,date,yield_kg,revenue_krw
# ── 작성 방법 ────────────────────────────────────────────────────────────────
# farm_id  : 농가 고유 ID (예: farm_101, farm_102 — 같은 농가는 동일 ID 유지)
# crop     : 작목명 (한국어 정확히 입력: 콩/무/배추/마늘/양파/고추/가지/감귤)
# season   : 재배 시즌 (예: 2022, 2023, 2024 — 연 1회 재배 기준)
# year     : 수확 연도 (4자리)
# date     : 수확 기록일 (YYYY-MM-DD)
# yield_kg : 해당 시즌 총 수확량 (kg)
# revenue_krw : 해당 시즌 총 매출액 (원, 없으면 공란)
#
# ── 최소 데이터 기준 ──────────────────────────────────────────────────────────
# 작목당 50개 농가 × 2시즌 이상, 또는 단일 농가 5시즌 이상 (가능한 많을수록 좋음)
#
# ── 입력 예시 (아래 주석 제거 후 사용) ──────────────────────────────────────
# farm_101,배추,2022,2022,2022-11-15,8500,25500000
# farm_101,배추,2023,2023,2023-11-20,9200,30360000
# farm_102,배추,2022,2022,2022-11-10,7800,23400000
# farm_201,마늘,2022,2022,2022-06-10,3200,38400000
# farm_201,마늘,2023,2023,2023-06-05,3500,42000000
