자료,영역,단계,SFIO 활용,상태,기여 행수,비고
스마트팜_2018 (zip+폴더),5년 패널,★★★ 학습 메인 (이미 사용),환경 9개 + 수확량 추출,✓ 통합 완료,"~2,500",
스마트팜_2019 (zip+폴더),5년 패널,★★★ 학습 메인,환경 9개 + 수확량 추출,✓ 통합 완료,"~2,500",
스마트팜_2020 (zip+폴더),5년 패널,★★★ 학습 메인,환경 9개 + 수확량 추출,✓ 통합 완료,"~2,500",
스마트팜_2021 (zip+폴더),5년 패널,★★★ 학습 메인,환경 9개 + 수확량 추출,✓ 통합 완료,"~2,500",
스마트팜_2022 (zip+폴더),5년 패널,★★★ 학습 메인,환경 9개 + 수확량 추출,✓ 통합 완료,"~2,476",
농진청 생산헝 향상모델,https://www.data.go.kr/data/15125691/openapi.do,문서,5년 패널 사용 가이드,✓ 참조됨,문서,1~5번 내용과 동일
"이암허브(4개품목 환경, 생육, 소득)",추가 검증,"환경, 생육, 소득 5개농가",외부 검증 보조,⏳ 활용 가능,"~500~2,000 (추정)",
농정원_지역별 토마토 시설원예,추가 학습,★★ 미활용 (확장 가능),토마토 보강 (지역 다양성),⏳ 활용 가능,"~3,000~5,000 (추정)",
농정원_농가경영정보 (20230927),경영 모듈,★★★ 미활용 (M2/M3용),M2 단가 + M3 비용 모듈 학습,⏳ 활용 가능,농가별 경영,
농촌진흥청_스마트팜 우수농가 공개데이터 OpenAPI_기술명세서,,,,,,우수농가 최적화범위
KAMIS 단가 API,,,,,,
KMA 기상 API,,,,,,
NCPMS 병해충 API,,,,,,
